CRN	SUBJ_CODE	CRSE_NUMB	COURSE_SECTION_TITLE	SEM_OFFERED	CAMPUS	SECTION	SCHED_TYPE	QUOTA	STAFF_ID	INSTRUCTOR	START_DATE	END_DATE	DAY	START_TIME	END_TIME	ROOM_DESC	Primary Instructor/First Examiner	Update Status (OK, Amend, Remove, Add)
25638	COMP	1126	Introduction to Computing I COMP1126 TUTORIAL	201520	Mona	T09	Tutorial/Discussions	40	TUTOR	TUTOR	18-Jan-16	26-Feb-16	Fri	1:00 PM	1:59 PM	Computer Science Tutorial Room 2		
25930	COMP	1126	Introduction to Computing I SECONDARY TUTORIAL COMP1126	201520	Mona	T10	Secondary Tutorial	40	TUTOR	TUTOR	18-Jan-16	16-Feb-16	Mon	2:00 PM	2:59 PM	Computer Science Tutorial Room 1		
23297	COMP	1127	Introduction to Computing II Lab COMP1127	201520	Mona	B01	Lab	100	TUTOR	TUTOR	7-Mar-16	15-Apr-16	Mon	4:00 PM	5:59 PM	Computer Lab Lab 1		
25937	COMP	1127	Introduction to Computing II LAB COMP1127	201520	Mona	B02	Lab	100	TUTOR	TUTOR	7-Mar-16	15-Apr-16	Thur	11:00 AM	12:59 PM	Computer Lab Lab 1		
23298	COMP	1127	Introduction to Computing II	201520	Mona	M11	Lecture	200	10019397	Curtis C. Busby-Earle	7-Mar-16	15-Apr-16	Tues	4:00 PM	4:59 PM	Computing Lecture Room		
23298	COMP	1127	Introduction to Computing II	201520	Mona	M11	Lecture	200	10019397	Curtis C. Busby-Earle	18-Jan-16	15-Apr-16	Wed	2:00 PM	3:59 PM	Computing Lecture Room		
23299	COMP	1127	Introduction to Computing II Secondary Tutorial COMP 1127	201520	Mona	T01	Secondary Tutorial	40	TUTOR	TUTOR	7-Mar-16	8-Apr-16	Tues	6:00 PM	6:59 PM	Computer Science Tutorial Room 2		
23300	COMP	1127	Introduction to Computing II Secondary Tutorial COMP1127	201520	Mona	T02	Secondary Tutorial	40	TUTOR	TUTOR	7-Mar-16	8-Apr-16	Wed	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		
23487	COMP	1127	Introduction to Computing II Secondary Tutorial COMP1127	201520	Mona	T03	Secondary Tutorial	40	TUTOR	TUTOR	7-Mar-16	8-Apr-16	Thur	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		
23488	COMP	1127	Introduction to Computing II Tutorial COMP1127	201520	Mona	T04	Tutorial/Discussions	40	TUTOR	TUTOR	7-Mar-16	14-Apr-16	Thur	6:00 PM	6:59 PM	Computer Science Tutorial Room 2		
23489	COMP	1127	Introduction to Computing II Tutorial COMP1127	201520	Mona	T05	Tutorial/Discussions	40	TUTOR	TUTOR	7-Mar-16	14-Apr-16	Fri	2:00 PM	2:59 PM	POST GRAD COMPUTER ROOM		
23490	COMP	1127	Introduction to Computing II Tutorial COMP1127	201520	Mona	T06	Tutorial/Discussions	40	TUTOR	TUTOR	7-Mar-16	14-Apr-16	Fri	5:00 PM	5:59 PM	Computer Science Tutorial Room 1		
