CRN	SUBJ_CODE	CRSE_NUMB	COURSE_SECTION_TITLE	SEM_OFFERED	CAMPUS	SECTION	SCHED_TYPE	QUOTA	STAFF_ID	INSTRUCTOR	START_DATE	END_DATE	DAY	START_TIME	END_TIME	ROOM_DESC	Primary Instructor/First Examiner	Update Status (OK, Amend, Remove, Add)	
23749	COMP	1161	Introduction to Object-Oriented Programming	201420	Mona	M11	Lecture	260	10017952	Eyton A. Ferguson	19-Jan-15	10-Apr-15	Mon	1:00 PM	2:59 PM	PAS: PreClinical Lecture Theatre		OK	
23749	COMP	1161	Introduction to Object-Oriented Programming	201420	Mona	M11	Lecture	260	10031769	Careene Rodney	19-Jan-15	16-Apr-15	Mon	6:00 PM	7:59 PM	PAS: Science Lecture Theatre		OK	
23751	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T01	Tutorial/Discussions	20	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Mon	11:00 AM	11:59 AM	Computer Science Tutorial Room 1		OK	
23755	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T02	Tutorial/Discussions	20	10032033	Daniel T. Fokum	19-Jan-15	16-Apr-15	Mon	3:00 PM	3:59 PM	Computer Science Tutorial Room 1		AMEND	
23757	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T03	Tutorial/Discussions	20	10019382	Paul A. Gaynor	19-Jan-15	16-Apr-15	Mon	12:00 PM	12:59 PM	Computer Science Tutorial Room 1		OK	
23763	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T04	Tutorial/Discussions	20	10017952	Eyton A. Ferguson	19-Jan-15	16-Apr-15	Mon	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		AMEND	
23766	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T05	Tutorial/Discussions	20	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Tues	10:00 AM	10:59 AM	Computer Science Tutorial Room 1		OK	
23768	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T06	Tutorial/Discussions	20	10032033	Daniel T. Fokum	19-Jan-15	16-Apr-15	Tues	11:00 AM	11:59 AM	Computer Science Tutorial Room 2		AMEND	
23770	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T07	Tutorial/Discussions	20		Dean Jones	19-Jan-15	16-Apr-15	Tues	12:00 PM	12:59 PM	Computer Science Tutorial Room 1		AMEND	
23776	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T08	Tutorial/Discussions	20	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Wed	7:00 PM	7:59 PM	Computer Science Tutorial Room 1		OK	
